Date,StockCode,QuantitySoldKilo,UnitSellingPrice,WholesalePrice,LossRatePct,ItemName,CategoryName,Year,Month,Day,DayOfWeek,IsWeekend
2021-05-28,102900005115168,5.619,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,28,4,0
2021-05-29,102900005115168,6.898,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,29,5,1
2021-05-30,102900005115168,7.209,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,30,6,1
2021-05-31,102900005115168,13.181000000000001,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,31,0,0
2021-06-01,102900005115168,6.55,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,1,1,0
2021-06-02,102900005115168,6.281000000000001,2.6000000000000005,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,2,2,0
2021-06-03,102900005115168,8.741,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,3,3,0
2021-06-04,102900005115168,12.429,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,4,4,0
2021-06-07,102900005115168,4.699,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,7,0,0
2021-06-08,102900005115168,11.471,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,8,1,0
2021-06-13,102900005115168,12.175,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,6,13,6,1
2021-12-01,102900005115168,9.718,5.0,3.4400000000000004,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,1,2,0
2021-12-02,102900005115168,4.274,5.0,3.44,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,2,3,0
2021-12-03,102900005115168,6.024,6.0,3.45,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,3,4,0
2021-12-04,102900005115168,3.357,6.0,3.5900000000000003,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,4,5,1
2021-12-05,102900005115168,11.193,6.0,3.59,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,5,6,1
2021-12-06,102900005115168,10.068,6.0,3.65,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,6,0,0
2021-12-07,102900005115168,8.558,6.0,3.87,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,7,1,0
2021-12-08,102900005115168,7.669,6.0,3.75,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,8,2,0
2021-12-09,102900005115168,5.202,6.0,3.8700000000000006,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,9,3,0
2021-12-10,102900005115168,10.674,6.0,3.94,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,10,4,0
2021-12-11,102900005115168,11.883,6.0,3.91,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,11,5,1
2021-12-12,102900005115168,19.365,6.0,3.95,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,12,6,1
2021-12-13,102900005115168,9.465,6.0,3.63,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,13,0,0
2021-12-14,102900005115168,9.01,6.0,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,14,1,0
2021-12-15,102900005115168,6.429,6.0,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,15,2,0
2021-12-16,102900005115168,12.908,6.0,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,16,3,0
2021-12-17,102900005115168,9.113,6.0,2.9900000000000007,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,17,4,0
2021-12-18,102900005115168,13.659,6.0,2.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,18,5,1
2021-12-19,102900005115168,9.669,6.0,2.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,19,6,1
2021-12-20,102900005115168,8.556,6.0,2.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,20,0,0
2021-12-21,102900005115168,4.413,6.0,2.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,21,1,0
2021-12-22,102900005115168,12.737,6.0,2.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,22,2,0
2021-12-23,102900005115168,9.366,6.0,2.72,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,23,3,0
2021-12-24,102900005115168,9.38,6.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,24,4,0
2021-12-25,102900005115168,8.946,6.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,25,5,1
2021-12-26,102900005115168,9.296,6.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,26,6,1
2021-12-27,102900005115168,14.735,6.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,27,0,0
2021-12-28,102900005115168,7.889,6.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,28,1,0
2021-12-29,102900005115168,11.456,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,29,2,0
2021-12-30,102900005115168,8.915000000000001,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,30,3,0
2021-12-31,102900005115168,5.385,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,12,31,4,0
2022-01-01,102900005115168,4.456,5.0,2.6000000000000005,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,1,5,1
2022-01-02,102900005115168,5.143,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,2,6,1
2022-01-03,102900005115168,1.4500000000000002,4.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,3,0,0
2022-01-04,102900005115168,4.943,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,4,1,0
2022-01-05,102900005115168,2.137,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,5,2,0
2022-01-06,102900005115168,4.698,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,6,3,0
2022-01-07,102900005115168,2.985,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,7,4,0
2022-01-08,102900005115168,5.467,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,8,5,1
2022-01-09,102900005115168,7.179,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,9,6,1
2022-01-10,102900005115168,6.271,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,10,0,0
2022-01-11,102900005115168,3.1639999999999997,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,11,1,0
2022-01-12,102900005115168,4.839,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,12,2,0
2022-01-13,102900005115168,1.492,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,13,3,0
2022-01-14,102900005115168,1.371,5.0,2.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,14,4,0
2022-01-15,102900005115168,1.029,5.0,2.61,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2022,1,15,5,1
2023-02-28,102900005115168,5.0009999999999994,7.0,4.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,2,28,1,0
2023-03-01,102900005115168,1.6079999999999999,7.0,4.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,3,1,2,0
2023-05-11,102900005115168,8.718,3.0,2.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,11,3,0
2023-05-14,102900005115168,5.677,3.0,1.8000000000000003,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,14,6,1
2023-05-17,102900005115168,7.468,3.0,1.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,17,2,0
2023-05-18,102900005115168,0.473,3.0,1.8,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,18,3,0
2023-05-20,102900005115168,9.428,3.0,1.9500000000000002,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,20,5,1
2023-05-23,102900005115168,11.659,3.0,1.43,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,23,1,0
2023-05-26,102900005115168,7.5360000000000005,3.0,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,26,4,0
2023-05-27,102900005115168,8.583,3.0,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,27,5,1
2023-05-29,102900005115168,7.84,3.0,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,29,0,0
2023-05-30,102900005115168,3.954,3.0,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2023,5,30,1,0
2020-11-11,102900005115199,0.491,37.7,32.54,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,11,2,0
2020-11-12,102900005115199,0.286,49.8,32.56,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,12,3,0
2020-11-14,102900005115199,1.627,49.8,37.63,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,14,5,1
2020-11-15,102900005115199,0.908,49.79999999999999,37.78,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,15,6,1
2020-11-16,102900005115199,0.384,49.8,37.84,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,16,0,0
2020-11-17,102900005115199,0.795,49.8,37.84,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,17,1,0
2020-11-18,102900005115199,0.278,49.8,37.12,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,18,2,0
2020-11-19,102900005115199,0.358,49.79999999999999,36.85,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,19,3,0
2020-11-21,102900005115199,0.34199999999999997,59.8,36.84,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,21,5,1
2020-11-22,102900005115199,0.284,59.8,37.07,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,22,6,1
2020-11-28,102900005115199,0.29800000000000004,69.8,45.77,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,28,5,1
2020-11-29,102900005115199,0.125,69.8,45.76,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2020,11,29,6,1
2021-02-23,102900005115199,0.457,79.8,58.6,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,2,23,1,0
2021-02-24,102900005115199,0.234,79.8,46.32,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,2,24,2,0
2021-02-26,102900005115199,0.206,79.8,46.36,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,2,26,4,0
2021-02-27,102900005115199,2.795,53.8,44.68,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,2,27,5,1
2021-03-01,102900005115199,2.2359999999999998,49.8,40.84,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,1,0,0
2021-03-02,102900005115199,4.105,53.8,44.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,2,1,0
2021-03-03,102900005115199,3.763,53.8,33.58,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,3,2,0
2021-03-04,102900005115199,3.0780000000000003,49.79999999999999,37.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,4,3,0
2021-03-05,102900005115199,3.056,49.8,37.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,5,4,0
2021-03-06,102900005115199,3.503,53.79999999999999,37.25,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,6,5,1
2021-03-07,102900005115199,1.325,55.8,37.36,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,7,6,1
2021-03-08,102900005115199,1.655,55.79999999999999,37.58,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,8,0,0
2021-03-09,102900005115199,1.199,55.8,39.06,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,9,1,0
2021-03-10,102900005115199,0.268,59.8,39.07,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,10,2,0
2021-03-11,102900005115199,1.79,59.79999999999999,39.06,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,11,3,0
2021-03-12,102900005115199,1.958,59.8,39.06,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,12,4,0
2021-03-13,102900005115199,1.786,59.8,39.06,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,13,5,1
2021-03-14,102900005115199,2.466,59.79999999999999,46.33,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,14,6,1
2021-03-15,102900005115199,1.373,55.8,41.77,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,15,0,0
2021-03-16,102900005115199,0.9339999999999999,55.8,41.66,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,16,1,0
2021-03-17,102900005115199,0.797,55.8,41.66,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,17,2,0
2021-03-18,102900005115199,2.1,49.8,40.31,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,18,3,0
2021-03-19,102900005115199,0.286,39.8,38.01,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,19,4,0
2021-03-20,102900005115199,4.545,39.8,33.11,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,20,5,1
2021-03-21,102900005115199,2.095,49.8,26.41,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,21,6,1
2021-03-22,102900005115199,1.029,49.8,30.410000000000004,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,22,0,0
2021-03-23,102900005115199,0.273,49.8,36.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,23,1,0
2021-03-24,102900005115199,1.105,49.8,35.26,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,24,2,0
2021-03-26,102900005115199,3.344,59.8,32.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,26,4,0
2021-03-27,102900005115199,2.6790000000000003,59.79999999999999,32.61,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,27,5,1
2021-03-28,102900005115199,2.672,53.8,40.37,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,28,6,1
2021-03-29,102900005115199,0.782,39.8,44.6,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,29,0,0
2021-03-30,102900005115199,1.955,33.8,45.34,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,30,1,0
2021-03-31,102900005115199,1.266,33.8,45.33,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,3,31,2,0
2021-04-01,102900005115199,1.8450000000000002,25.8,39.45,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,1,3,0
2021-04-02,102900005115199,2.857,25.8,35.04,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,2,4,0
2021-04-03,102900005115199,5.395,25.8,18.77,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,3,5,1
2021-04-04,102900005115199,2.504,25.800000000000004,14.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,4,6,1
2021-04-05,102900005115199,5.179,25.8,14.02,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,5,0,0
2021-04-06,102900005115199,0.9179999999999999,25.8,14.580000000000002,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,6,1,0
2021-04-07,102900005115199,4.946,21.8,14.19,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,7,2,0
2021-04-08,102900005115199,2.249,25.8,15.66,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,8,3,0
2021-04-09,102900005115199,4.97,19.8,15.109999999999998,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,9,4,0
2021-04-10,102900005115199,2.287,19.8,14.41,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,10,5,1
2021-04-11,102900005115199,5.921,19.8,14.26,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,11,6,1
2021-04-12,102900005115199,3.779,19.8,14.75,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,12,0,0
2021-04-13,102900005115199,2.5,19.8,14.12,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,13,1,0
2021-04-14,102900005115199,2.164,19.8,16.1,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,14,2,0
2021-04-15,102900005115199,2.529,23.8,16.1,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,15,3,0
2021-04-16,102900005115199,1.983,23.8,16.05,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,16,4,0
2021-04-17,102900005115199,2.647,23.8,16.0,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,17,5,1
2021-04-18,102900005115199,2.559,23.8,15.930000000000001,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,18,6,1
2021-04-19,102900005115199,1.308,23.8,15.92,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,19,0,0
2021-04-20,102900005115199,1.367,23.8,15.92,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,20,1,0
2021-04-21,102900005115199,0.988,23.8,15.11,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,21,2,0
2021-04-24,102900005115199,1.9980000000000002,23.8,15.72,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,24,5,1
2021-04-25,102900005115199,1.131,23.8,15.800000000000002,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,25,6,1
2021-04-26,102900005115199,0.484,23.8,15.89,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,26,0,0
2021-04-27,102900005115199,0.156,23.8,15.94,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,27,1,0
2021-04-28,102900005115199,0.8029999999999999,21.8,15.93,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,28,2,0
2021-04-29,102900005115199,1.142,29.8,15.85,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,29,3,0
2021-04-30,102900005115199,1.359,29.8,15.81,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,4,30,4,0
2021-05-02,102900005115199,1.421,29.8,19.1,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,2,6,1
2021-05-03,102900005115199,1.175,29.8,20.87,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,3,0,0
2021-05-04,102900005115199,1.078,29.8,20.99,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,4,1,0
2021-05-05,102900005115199,0.624,29.8,20.44,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,5,2,0
2021-05-06,102900005115199,1.476,29.8,20.6,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,6,3,0
2021-05-12,102900005115199,0.20400000000000001,29.8,20.57,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2021,5,12,2,0
2022-03-15,102900005115199,1.081,45.6,30.1,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,15,1,0
2022-03-16,102900005115199,1.01,39.6,27.81,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,16,2,0
2022-03-19,102900005115199,9.723,25.800000000000004,17.48,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,19,5,1
2022-03-20,102900005115199,1.387,29.6,19.56,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,20,6,1
2022-03-21,102900005115199,12.849,20.524137931034485,19.79,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,21,0,0
2022-03-22,102900005115199,6.353,20.6,20.42,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,22,1,0
2022-03-23,102900005115199,1.273,23.4,21.56,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,23,2,0
2022-03-24,102900005115199,8.371,20.3625,29.06,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,24,3,0
2022-03-25,102900005115199,5.085,21.6,20.69,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,25,4,0
2022-03-26,102900005115199,12.463000000000001,20.410169491525423,26.13,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,26,5,1
2022-03-27,102900005115199,8.834,21.0,19.52,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,27,6,1
2022-03-28,102900005115199,1.665,29.6,32.33,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,28,0,0
2022-03-29,102900005115199,1.345,25.8,32.33,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,29,1,0
2022-03-31,102900005115199,2.458,25.8,20.03,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,3,31,3,0
2022-04-01,102900005115199,2.63,25.8,20.23,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,1,4,0
2022-04-02,102900005115199,2.028,25.8,17.59,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,2,5,1
2022-04-03,102900005115199,1.172,51.6,21.81,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,3,6,1
2022-04-04,102900005115199,1.346,51.6,30.510000000000005,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,4,0,0
2022-04-05,102900005115199,1.4849999999999999,45.6,40.45,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,5,1,0
2022-04-06,102900005115199,0.516,45.6,40.45,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,6,2,0
2022-04-07,102900005115199,0.752,45.6,22.6,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,7,3,0
2022-04-08,102900005115199,0.47,45.6,20.72,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,8,4,0
2022-04-09,102900005115199,1.047,45.6,20.71,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,9,5,1
2022-04-10,102900005115199,1.247,31.600000000000005,15.089999999999998,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,10,6,1
2022-04-11,102900005115199,1.314,31.6,8.35,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,11,0,0
2022-04-12,102900005115199,0.557,31.600000000000005,20.14,10.46,Sichuan Red Cedar,Flower/Leaf Vegetables,2022,4,12,1,0
